toko,kategori,nama_produk,harga,harga_original,harga_member,diskon,rating,jumlah_review,jumlah_terjual,lokasi,brand,url_produk,url_gambar,tanggal_scraping,halaman
Watsons,Facial,PONDS Pure White Facial Foam 100gr,38600,48300.0,36670.0,20.0,5.0,18.0,,Indonesia,PONDS,https://www.watsons.co.id/id/ponds-pure-white-facial-foam-100gr/p/BP_55902,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,1
Watsons,Facial,PONDS White Beauty Facial Foam 50gr,26800,29800.0,25460.0,10.0,5.0,3.0,,Indonesia,PONDS,https://www.watsons.co.id/id/ponds-white-beauty-facial-foam-50gr/p/BP_55907,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,1
Watsons,Facial,SIMPLE Simple Kind To Skin Soothing Facial Toner 200ml,47900,95900.0,,30.0,5.0,5.0,,Indonesia,SIMPLE,https://www.watsons.co.id/id/simple-simple-kind-to-skin-soothing-facial-toner-200ml/p/BP_43425,,2026-05-07,1
Watsons,Facial,SIMPLE Simple Kind to Skin Refreshing Facial Wash 150ml,55200,78900.0,,30.0,5.0,5.0,,Indonesia,SIMPLE,https://www.watsons.co.id/id/simple-simple-kind-to-skin-refreshing-facial-wash-150ml/p/BP_43424,,2026-05-07,2
Watsons,Facial,SIMPLE Simple Kind to Skin Moisturising Facial Wash 150ml,78900,,,,5.0,3.0,,Indonesia,SIMPLE,https://www.watsons.co.id/id/simple-simple-kind-to-skin-moisturising-facial-wash-150ml/p/BP_43421,,2026-05-07,2
Watsons,Facial,GLUTANEX Aqua Booster Hydrating Facial Cream 50ml,165400,330900.0,,50.0,,0.0,,Indonesia,GLUTANEX,https://www.watsons.co.id/id/glutanex-aqua-booster-hydrating-facial-cream-50ml/p/BP_60169,,2026-05-07,2
Watsons,Facial,CLEAN & CLEAR Facial Wash 100ml,25800,34500.0,,25.0,5.0,75.0,,Indonesia,CLEAN,https://www.watsons.co.id/id/clean-clear-facial-wash-100ml/p/BP_41835,,2026-05-07,2
Watsons,Facial,AZARINE Azarine Brightening Glow Facial Cleanser 60ml,22000,35000.0,22000.0,10.0,5.0,1.0,,Indonesia,AZARINE,https://www.watsons.co.id/id/azarine-azarine-brightening-glow-facial-cleanser-60ml/p/BP_43661,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,GLOW & LOVELY Glow & Lovely Multi Vitamin Facial Foam 100g,39000,,,,5.0,5.0,,Indonesia,GLOW,https://www.watsons.co.id/id/glow-lovely-glow-lovely-multi-vitamin-facial-foam-100g/p/BP_29080,,2026-05-07,2
Watsons,Facial,PONDS Ponds Pure Bright Whip Facial Foam 100g,47200,52500.0,44840.0,10.0,5.0,3.0,,Indonesia,PONDS,https://www.watsons.co.id/id/ponds-ponds-pure-bright-whip-facial-foam-100g/p/BP_19413,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,PONDS Ponds Bright Beauty Whip Facial Foam 100G,42000,52500.0,39900.0,20.0,5.0,5.0,,Indonesia,PONDS,https://www.watsons.co.id/id/ponds-ponds-bright-beauty-whip-facial-foam-100g/p/BP_19414,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,HADA LABO Ultimate White Facial Wash 50g,33000,,,,5.0,89.0,,Indonesia,HADA,https://www.watsons.co.id/id/hada-labo-ultimate-white-facial-wash-50g/p/BP_51893,,2026-05-07,2
Watsons,Facial,PIGEON Pigeon Teens Facial Foam Acne Care 100ml,31200,39000.0,29640.0,20.0,5.0,1.0,,Indonesia,PIGEON,https://www.watsons.co.id/id/pigeon-pigeon-teens-facial-foam-acne-care-100ml/p/BP_36615,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,SIMPLE Simple Water Boost Micellar Facial Gel Wash 150ml,49900,99900.0,,30.0,5.0,5.0,,Indonesia,SIMPLE,https://www.watsons.co.id/id/simple-simple-water-boost-micellar-facial-gel-wash-150ml/p/BP_43420,,2026-05-07,2
Watsons,Facial,KOJIE-SAN Kojie San Skin Lightening Facial Wash with Hydromoist 100g,93500,,,,5.0,5.0,,Indonesia,KOJIE-SAN,https://www.watsons.co.id/id/kojie-san-kojie-san-skin-lightening-facial-wash-with-hydromoist-100g/p/BP_22473,,2026-05-07,2
Watsons,Facial,GLOW & LOVELY Glow & Lovely Multi Vitamin Facial Foam 50g,16800,24000.0,,30.0,5.0,4.0,,Indonesia,GLOW,https://www.watsons.co.id/id/glow-lovely-glow-lovely-multi-vitamin-facial-foam-50g/p/BP_29082,,2026-05-07,2
Watsons,Facial,GLOW & LOVELY Glow & Lovely Vitamin C Glow Facial Foam 100g,36400,40500.0,34580.0,10.0,,0.0,,Indonesia,GLOW,https://www.watsons.co.id/id/glow-lovely-glow-lovely-vitamin-c-glow-facial-foam-100g/p/BP_29081,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,PONDS Age Miracle Youthful Glow Facial Treatment Cleanser 100g,81500,,,,5.0,7.0,,Indonesia,PONDS,https://www.watsons.co.id/id/ponds-age-miracle-youthful-glow-facial-treatment-cleanser-100g/p/BP_17012,,2026-05-07,2
Watsons,Facial,POISE Poise Clear Shine Oil Control Facial Foam 100g,18900,31500.0,17955.0,25.0,5.0,18.0,,Indonesia,POISE,https://www.watsons.co.id/id/poise-poise-clear-shine-oil-control-facial-foam-100g/p/BP_51452,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,BIO BEAUTY LAB Bio Beauty Lab Luxurious Facial Oil Serum 5ml,84000,120000.0,79800.0,30.0,5.0,2.0,,Indonesia,BIO,https://www.watsons.co.id/id/bio-beauty-lab-bio-beauty-lab-luxurious-facial-oil-serum-5ml/p/BP_48794,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,2
Watsons,Facial,CLEAN & CLEAR Foaming Facial Wash 100ml + Oil Control Film 60'S,72900,,,,,0.0,,Indonesia,CLEAN,https://www.watsons.co.id/id/clean-clear-foaming-facial-wash-100ml-oil-control-film-60-s/p/BP_41162,,2026-05-07,2
Watsons,Facial,GLAD2GLOW Low PH 5.5 Gentle Facial Wash 70ml,32300,39000.0,,,5.0,3.0,,Indonesia,GLAD2GLOW,https://www.watsons.co.id/id/glad2glow-low-ph-5.5-gentle-facial-wash-70ml/p/BP_60837,,2026-05-07,2
Watsons,Facial,SKIN GAME Skin Game Kind Hydrating Facial Wash 230ml,156000,208000.0,,25.0,,0.0,,Indonesia,SKIN,https://www.watsons.co.id/id/skin-game-skin-game-kind-hydrating-facial-wash-230ml/p/BP_59889,,2026-05-07,2
Watsons,Facial,SKIN GAME Skin Game Kind Hydrating Facial Wash 100ml,103500,138000.0,,25.0,,0.0,,Indonesia,SKIN,https://www.watsons.co.id/id/skin-game-skin-game-kind-hydrating-facial-wash-100ml/p/BP_59887,,2026-05-07,2
Watsons,Facial,BC SKIN 10in1 Whitening Facial Wash 100ml,114700,135000.0,,15.0,,0.0,,Indonesia,BC,https://www.watsons.co.id/id/bc-skin-10in1-whitening-facial-wash-100ml/p/BP_62072,,2026-05-07,2
Watsons,Facial,GLOW & LOVELY Glow & Lovely Vitamin C Glow Facial Foam 50g,24000,,,,5.0,3.0,,Indonesia,GLOW,https://www.watsons.co.id/id/glow-lovely-glow-lovely-vitamin-c-glow-facial-foam-50g/p/BP_29083,,2026-05-07,2
Watsons,Facial,BREYLEE Orange Energy Facial Mask 25ml,5340,8900.0,,20.0,5.0,13.0,,Indonesia,BREYLEE,https://www.watsons.co.id/id/breylee-orange-energy-facial-mask-25ml/p/BP_74292,,2026-05-07,2
Watsons,Facial,QVS Puff Qvs 10-1085 facial celansing chamois,67900,,,,,0.0,,Indonesia,QVS,https://www.watsons.co.id/id/qvs-puff-qvs-10-1085-facial-celansing-chamois/p/BP_53696,,2026-05-07,2
Watsons,Facial,EMINA Ms. Pimple Acne Solution Facial Wash 50ml,23000,,,,5.0,11.0,,Indonesia,EMINA,https://www.watsons.co.id/id/emina-ms.-pimple-acne-solution-facial-wash-50ml/p/BP_80741,,2026-05-07,2
Watsons,Facial,TAMMIA Tammia TSC-002 2-In-1 Facial Cleansing Brush,119900,,,,,0.0,,Indonesia,TAMMIA,https://www.watsons.co.id/id/tammia-tammia-tsc-002-2-in-1-facial-cleansing-brush/p/BP_50206,,2026-05-07,2
Watsons,Facial,SKIN GAME Skin Game Kind Deep Cleanse Facial Wash 100ml,103500,138000.0,,25.0,,0.0,,Indonesia,SKIN,https://www.watsons.co.id/id/skin-game-skin-game-kind-deep-cleanse-facial-wash-100ml/p/BP_59888,,2026-05-07,2
Watsons,Facial,GLAD2GLOW Volcanic Ash+BHA Deep Pore Clean Facial Cleanser 70ml,32500,39000.0,,,5.0,3.0,,Indonesia,GLAD2GLOW,https://www.watsons.co.id/id/glad2glow-volcanic-ash-bha-deep-pore-clean-facial-cleanser-70ml/p/BP_63297,,2026-05-07,2
Watsons,Facial,YOU YOU Hy! Amino Ac-Ttac kAnti-Acne Facial Wash 100ML,38000,,,,5.0,1.0,,Indonesia,YOU,https://www.watsons.co.id/id/you-you-hy-amino-ac-ttac-kanti-acne-facial-wash-100ml/p/BP_26713,,2026-05-07,2
Watsons,Facial,QVS QVS 10-1067 2 Small Facial Cleansing Sponge,56900,,,,5.0,1.0,,Indonesia,QVS,https://www.watsons.co.id/id/qvs-qvs-10-1067-2-small-facial-cleansing-sponge/p/BP_53693,,2026-05-07,2
Watsons,Facial,THE ORIGINOTE Gentle Facial Wash Low pH Cleanser 150ml,53000,,,,5.0,1.0,,Indonesia,THE,https://www.watsons.co.id/id/the-originote-gentle-facial-wash-low-ph-cleanser-150ml/p/BP_59821,,2026-05-07,2
Watsons,Facial,AVOSKIN Avoskin Natural Sublime Facial Cleanser 100ml,122400,144000.0,,10.0,5.0,2.0,,Indonesia,AVOSKIN,https://www.watsons.co.id/id/avoskin-avoskin-natural-sublime-facial-cleanser-100ml/p/BP_40042,,2026-05-07,3
Watsons,Facial,BREYLEE Aloe Vera Energy Facial Mask 25ml,5340,8900.0,,20.0,5.0,13.0,,Indonesia,BREYLEE,https://www.watsons.co.id/id/breylee-aloe-vera-energy-facial-mask-25ml/p/BP_74309,,2026-05-07,3
Watsons,Facial,GARNIER Sakura Glow - Facial Wash Garnier Sakura 100ml,30000,45500.0,,,5.0,18.0,,Indonesia,GARNIER,https://www.watsons.co.id/id/garnier-sakura-glow-facial-wash-garnier-sakura-100ml/p/BP_54011,,2026-05-07,3
