nama_produk,harga,harga_original,diskon,rating,jumlah_review,jumlah_terjual,sumber
OXY Oxy Acne Cleanser Face Wash 100Gr,35100.0,43900.0,20.0,5.0,5.0,,Watsons
NUXE Nuxe Aquabella Micro Exfoliating Purifying Gel 150 ml,267700.0,315000.0,15.0,5.0,2.0,,Watsons
CLEAN & CLEAR Foaming Face Wash Twinpack 100ml,51000.0,51000.0,0.0,5.0,7.0,,Watsons
SCORA Phytobright Milky Toner 80ml,31000.0,31000.0,0.0,5.0,2.0,,Watsons
SCORA Hydra Calm Cica Toner 80ml,31000.0,31000.0,0.0,,0.0,,Watsons
SENKA Perfect Whip Cinnamoroll Edition 120g,62400.0,78000.0,20.0,5.0,1.0,,Watsons
SENKA Perfect Whip Collagen In Cinnamoroll Edition 120g,84800.0,106000.0,20.0,5.0,1.0,,Watsons
SCORA D-Panthenol Barrier Essence Toner 80ml,31000.0,31000.0,0.0,,0.0,,Watsons
NUXE Nuxe Huile Prodigieuse Multi Purpose Dry Oil 30 ml,330000.0,330000.0,0.0,,0.0,,Watsons
NUXE Nuxe Huile Prodigieuse Multi-Purpose Dry Oil 100 ml,905000.0,905000.0,0.0,,0.0,,Watsons
NUXE Nuxe Huile Prodigieuse Multi Purpose Dry Oil 50 ml,560000.0,560000.0,0.0,5.0,2.0,,Watsons
FACERINNA Facerinna Ceramide B5 Balancing Toner 100ml,44100.0,49000.0,10.0,,0.0,,Watsons
SENKA Perfect Whip Clay Cinnamoroll Edition 120g,69600.0,87000.0,20.0,,0.0,,Watsons
HANASUI Twin Pack Calm & Clear Micellar Water 300ml,77800.0,119800.0,25.0,,0.0,,Watsons
SOME BY MI Beta Panthenol Repair Starter Kit,240000.0,240000.0,0.0,,0.0,,Watsons
SOME BY MI Yuja Niacin Anti Blemish Starter Kit,240000.0,240000.0,0.0,,0.0,,Watsons
SENKA Perfect Whip Acne Care Cinnamoroll Edition 100g,79200.0,99000.0,20.0,,0.0,,Watsons
WARDAH Derma Sensitive Skin Rescue Moisturizer Neutrazen™ + Madecassoside 50g,139000.0,139000.0,0.0,5.0,2.0,,Watsons
BLESS Day Cream 18g,120000.0,120000.0,0.0,,0.0,,Watsons
BLESS Cleansing Freshner 125ml,95000.0,95000.0,0.0,,0.0,,Watsons
SOME BY MI AHA-BHA-PHA 30 Days Miracle AC SOS Kit,240000.0,240000.0,0.0,,0.0,,Watsons
INEZ Exfoliating Serum 20ml,67000.0,67000.0,0.0,,0.0,,Watsons
OMG Oh My Glow 1.5% CicaBoost Panthenol Soothing Toner 75ml,18000.0,18000.0,0.0,,0.0,,Watsons
IMPLORA Implora Midnight Serum 20ml,18400.0,36900.0,50.0,,0.0,,Watsons
IMPLORA Implora Bakuchiol Serum 20ml,18400.0,36900.0,50.0,5.0,2.0,,Watsons
IMPLORA Implora Peeling Serum 20ml,18400.0,36900.0,50.0,,0.0,,Watsons
IMPLORA Implora Acne Serum 20ml,18400.0,36900.0,50.0,5.0,3.0,,Watsons
INEZ Anti Aging Serum 20g,86700.0,102000.0,15.0,,0.0,,Watsons
INEZ Anti Aging Emulsion 30g,101100.0,119000.0,15.0,,0.0,,Watsons
IMPLORA Implora Hydrating Serum 20ml,18400.0,36900.0,50.0,5.0,1.0,,Watsons
VOTRE PEAU Serum Peptide 30 ml,185000.0,185000.0,0.0,5.0,3.0,,Watsons
VOTRE PEAU Brightening Essence 50 ml,249000.0,249000.0,0.0,5.0,2.0,,Watsons
SAFI SAFI NATURALS CLARYFYING TONER 100ML,54000.0,54000.0,0.0,,0.0,,Watsons
BHUMI HPR Retinol Serum,344200.0,344200.0,0.0,,0.0,,Watsons
CLEAN & CLEAR Deep Action Cleanser 100ml,32200.0,43000.0,25.0,5.0,5.0,,Watsons
OVALE OVALE FCL LTN ANTI ACNE 200M,37500.0,37500.0,0.0,,0.0,,Watsons
IMPLORA Implora Salmon DNA Serum 20ml,18400.0,36900.0,50.0,5.0,3.0,,Watsons
IMPLORA Implora 1% Liporetinol Serum 20ml,18400.0,36900.0,50.0,,0.0,,Watsons
INEZ Daily Complexion Brightening Serum 20ml,69700.0,82000.0,15.0,,0.0,,Watsons
BIORE Biore Micellar Water Soften Up 400ml,84000.0,105000.0,20.0,5.0,1.0,,Watsons
BIORE Biore Micellar Water Soften Up 90ml,30000.0,30000.0,0.0,5.0,1.0,,Watsons
BLESS Bless Hydrating & Brightening Serum 20ml,110500.0,130000.0,15.0,,0.0,,Watsons
SAFI Age Defy Gold Water Essence 30ml,52500.0,70000.0,25.0,5.0,151.0,,Watsons
SKINTIFIC Glow Bright Day Cream 30g,99400.0,198800.0,35.0,,0.0,,Watsons
IMPLORA Implora Acne Spot 12g,28800.0,28800.0,0.0,5.0,2.0,,Watsons
BHUMI Bhumi Glacier Water Calming Cleanser 100ml,118400.0,118400.0,0.0,5.0,1.0,,Watsons
VERILE Verile Acne Blemish Cream 10g,44000.0,44000.0,0.0,,0.0,,Watsons
VERILE Verile Acne Gel 10g,27000.0,27000.0,0.0,5.0,4.0,,Watsons
IMPLORA Implora 24K Gold Serum 20ml,18400.0,36900.0,50.0,5.0,1.0,,Watsons
HADA LABO Hadalabo Gokujyun Moisturizing Serum,104400.0,116000.0,10.0,5.0,3.0,,Watsons
SENKA Perfect Whip Beauty Foam Acne Care 100g,80800.0,101000.0,20.0,5.0,10.0,,Watsons
BIORE Biore Micellar Water Acne Care 400ml,84000.0,105000.0,20.0,,0.0,,Watsons
SENKA Senka Perfect Vit C Pores 100g,101000.0,101000.0,0.0,5.0,17.0,,Watsons
AVOSKIN Avoskin Your Skin Bae Azeclair Serum 30ml,185000.0,185000.0,0.0,,0.0,,Watsons
HADA LABO Hadalabo Shirojyun Whitening Serum,116000.0,116000.0,0.0,5.0,5.0,,Watsons
FACERINNA Facerinna Salicylic Acid Acne Toner 100ml,44100.0,49000.0,10.0,5.0,1.0,,Watsons
BIORE Biore Micellar Water Acne Care 90ml,30000.0,30000.0,0.0,5.0,2.0,,Watsons
VOTRE PEAU Salicylic Acid Acne Toner 100 ml,129000.0,129000.0,0.0,5.0,1.0,,Watsons
NAMA Nama Cleanskin Deep Cleansing Gel 30ml,129000.0,129000.0,0.0,,0.0,,Watsons
BLESS Bless Anti-Wrinkle & Revitalizing Serum 20ml,123200.0,145000.0,15.0,,0.0,,Watsons
SAFI Acne Expert Whipped Foam Sebum Cleanser 100g,46100.0,46100.0,0.0,5.0,2.0,,Watsons
SAFI Safi Acne Expert Acne Treatment Gel 15g,66000.0,66000.0,0.0,5.0,3.0,,Watsons
NUXE Nuxe Very Rose Delicate Cleansing Oil 150 ml,560000.0,560000.0,0.0,,0.0,,Watsons
SAFI White Expert Purifying Makeup Remover 200ml,94500.0,94500.0,0.0,5.0,7.0,,Watsons
SAFI Age Defy Foam Cleanser Cream 100G,46800.0,62500.0,25.0,5.0,25.0,,Watsons
